timestamp,site,jogo,aposta_minima,aposta_padrao,aposta_maxima,distribuicao
2026-06-05T12:34:12,Rainha do Slot,Cocktail Nights,60.0,52.0,43.0,99.0
2026-06-05T12:34:12,Rainha do Slot,Shark Bounty,82.0,53.0,76.0,99.0
2026-06-05T12:34:12,Rainha do Slot,Candy Bonanza,74.0,76.0,88.0,98.0
2026-06-05T12:34:12,Rainha do Slot,Forbidden Alchemy,28.0,42.0,47.0,98.0
2026-06-05T12:34:12,Rainha do Slot,Fortune Tiger,9.0,30.0,80.0,98.0
2026-06-05T12:34:12,Rainha do Slot,Bikini Paradise,91.0,83.0,90.0,98.0
2026-06-05T12:34:12,Rainha do Slot,Double Fortune,76.0,47.0,46.0,97.0
2026-06-05T12:34:12,Rainha do Slot,Wild Ape #3258,25.0,41.0,44.0,97.0
2026-06-05T12:34:12,Rainha do Slot,Songkran Splash,62.0,53.0,77.0,97.0
2026-06-05T12:34:12,Rainha do Slot,Totem Wonders,3.0,39.0,60.0,97.0
2026-06-05T12:34:12,Rainha do Slot,Werewolf's Hunt,24.0,51.0,85.0,96.0
2026-06-05T12:34:12,Rainha do Slot,Pinata Wins,10.0,53.0,54.0,95.0
2026-06-05T12:34:12,Rainha do Slot,Bakery Bonanza,2.0,28.0,64.0,95.0
2026-06-05T12:34:12,Rainha do Slot,Fortune Gods,54.0,75.0,92.0,95.0
2026-06-05T12:34:12,Rainha do Slot,Roost Rumble,19.0,39.0,49.0,93.0
2026-06-05T12:34:12,Rainha do Slot,Forge of Wealth,63.0,34.0,35.0,91.0
2026-06-05T12:34:12,Rainha do Slot,Hotpot,82.0,86.0,91.0,90.0
2026-06-05T12:34:12,Rainha do Slot,Mafia Mayhem,20.0,36.0,65.0,89.0
2026-06-05T12:34:12,Rainha do Slot,Secrets of Cleopatra,45.0,46.0,48.0,89.0
2026-06-05T12:34:12,Rainha do Slot,Galaxy Miner,65.0,66.0,57.0,89.0
2026-06-05T12:34:12,Rainha do Slot,Sobre o Rainha do Slots - Sinais OFICIAL,60.0,52.0,43.0,99.0
2026-06-05T12:34:12,Rainha do Slot,Navegação,60.0,52.0,43.0,99.0
2026-06-05T12:34:12,Rainha do Slot,Institucional,60.0,52.0,43.0,99.0
2026-06-05T12:34:12,Rainha do Slot,Redes,60.0,52.0,43.0,99.0
2026-06-05T12:34:12,Grupo FP Sinais,Fortune Rabbit,85.0,65.0,57.0,88.0
2026-06-05T12:34:12,Grupo FP Sinais,Fortune Tiger,48.0,45.0,90.0,91.0
2026-06-05T12:34:12,Grupo FP Sinais,Fortune Ox,46.0,92.0,90.0,93.0
2026-06-05T12:34:12,Grupo FP Sinais,Fortune Mouse,89.0,76.0,78.0,90.0
2026-06-05T12:34:12,Grupo FP Sinais,Fortune Dragon,13.0,38.0,64.0,67.0
2026-06-05T12:34:12,Grupo FP Sinais,Fortune Snake,13.0,38.0,47.0,50.0
2026-06-05T12:34:12,Grupo FP Sinais,Graffiti Rush,94.0,41.0,42.0,97.0
2026-06-05T12:34:12,Grupo FP Sinais,Mr. Treasure's Fortune,82.0,20.0,59.0,83.0
2026-06-05T12:34:12,Grupo FP Sinais,Rio Fantasia,74.0,28.0,42.0,75.0
2026-06-05T12:34:12,Grupo FP Sinais,Incan Wonders,28.0,37.0,70.0,73.0
2026-06-05T12:34:12,Grupo FP Sinais,Geisha's Revenge,68.0,94.0,12.0,97.0
2026-06-05T12:34:12,Grupo FP Sinais,Chocolate Deluxe,65.0,86.0,33.0,89.0
2026-06-05T12:34:12,Grupo FP Sinais,Doomsday Rampage,54.0,60.0,79.0,82.0
2026-06-05T12:34:12,Grupo FP Sinais,Mafia Mayhem,70.0,34.0,25.0,73.0
2026-06-05T12:34:12,Grupo FP Sinais,Dragon Hatch 2,59.0,91.0,59.0,94.0
2026-06-05T12:34:12,Grupo FP Sinais,Ganesha Gold,21.0,51.0,20.0,52.0
2026-06-05T12:34:12,Grupo FP Sinais,Werewolf's Hunt,92.0,19.0,83.0,93.0
2026-06-05T12:34:12,Grupo FP Sinais,Wild Ape,60.0,16.0,15.0,61.0
2026-06-05T12:34:12,Grupo FP Sinais,Dragon Tiger Luck,22.0,50.0,64.0,67.0
2026-06-05T12:34:12,Grupo FP Sinais,Tsar Treasures,26.0,95.0,75.0,96.0
2026-06-05T12:34:12,Grupo FP Sinais,Dragon Hatch,77.0,83.0,44.0,86.0
2026-06-05T12:34:12,Grupo FP Sinais,Bikini Paradise,53.0,18.0,46.0,56.0
2026-06-05T12:34:12,Grupo FP Sinais,Anubis Wrath,53.0,66.0,25.0,69.0
2026-06-05T12:34:12,Grupo FP Sinais,Songkran Splash,30.0,94.0,12.0,95.0
2026-06-05T12:34:12,Grupo FP Sinais,Mystic Potion,33.0,10.0,65.0,68.0
2026-06-05T12:34:12,Grupo FP Sinais,Cash Mania,34.0,80.0,50.0,81.0
2026-06-05T12:34:12,Grupo FP Sinais,Jungle Delight,51.0,96.0,12.0,97.0
2026-06-05T12:34:12,Grupo FP Sinais,Shark Hunter,60.0,91.0,88.0,92.0
2026-06-05T12:34:12,Grupo FP Sinais,Muay Thai Champion,98.0,81.0,26.0,98.0
2026-06-05T12:34:12,Grupo FP Sinais,Wild Bandito,97.0,12.0,11.0,98.0
2026-06-05T12:34:12,Grupo FP Sinais,Futebol Fever,57.0,30.0,84.0,87.0
2026-06-05T12:34:12,Grupo FP Sinais,Super Market Spree,71.0,85.0,24.0,88.0
2026-06-05T12:34:12,Grupo FP Sinais,Ganesha Fortune,21.0,26.0,99.0,98.0
2026-06-05T12:34:12,Grupo FP Sinais,Piggy Gold,93.0,72.0,87.0,94.0
2026-06-05T12:34:12,Grupo FP Sinais,Circus Delight,65.0,84.0,100.0,98.0
2026-06-05T12:34:12,Grupo FP Sinais,Captains Bounty,52.0,53.0,81.0,84.0
2026-06-05T12:34:12,Grupo FP Sinais,Phoenix Rises,70.0,41.0,87.0,90.0
2026-06-05T12:34:12,Grupo FP Sinais,Midas Fortune,85.0,11.0,24.0,88.0
2026-06-05T12:34:12,Grupo FP Sinais,Genie's 3 Wishes,56.0,77.0,18.0,80.0
2026-06-05T12:34:12,Grupo FP Sinais,Zombie Outbreak,96.0,55.0,79.0,97.0
2026-06-05T12:34:12,Grupo FP Sinais,Buffalo Win,53.0,68.0,95.0,96.0
2026-06-05T12:34:12,Grupo FP Sinais,Alchemy Gold,54.0,47.0,93.0,96.0
2026-06-05T12:34:12,Grupo FP Sinais,Tree Of Fortune,35.0,16.0,34.0,38.0
2026-06-05T12:34:12,Grupo FP Sinais,Diner Delights,65.0,61.0,12.0,66.0
2026-06-05T12:34:12,Grupo FP Sinais,Win Win WON,25.0,22.0,21.0,26.0
2026-06-05T12:34:12,Grupo FP Sinais,Totem Wonders,89.0,41.0,39.0,90.0
2026-06-05T12:34:12,Grupo FP Sinais,Mermaid Riches,80.0,66.0,25.0,83.0
2026-06-05T12:34:12,Grupo FP Sinais,Wild Bounty Showdown,13.0,79.0,55.0,80.0
2026-06-05T12:34:12,Grupo FP Sinais,Lucky Piggy,12.0,44.0,14.0,47.0
2026-06-05T12:34:12,Grupo FP Sinais,Mahjong Ways 2,28.0,92.0,18.0,95.0
2026-06-05T12:34:12,Grupo FP Sinais,Mahjong Ways,79.0,54.0,75.0,82.0
2026-06-05T12:34:12,Grupo FP Sinais,Ways Of The Qilin,85.0,95.0,73.0,96.0
2026-06-05T12:34:12,Grupo FP Sinais,Lucky Neko,19.0,10.0,79.0,80.0
2026-06-05T12:34:12,Grupo FP Sinais,Rise Of Apollo,63.0,41.0,61.0,66.0
